cod_esp,esp_nom_en,esp_nom_fr,esp_nom_latin,Remarques
825,Unspecified seals,Phoques non spécifiés,,
875,Harbour porpoise,Marsouin,Phocoena phocoena,
900,Red seaweeds,Algues rouges,Rhodophyta,
901,Irish moss,Mousse d'Irlande,,
902,Kelp,Laminaire,,
905,Other seaweeds,Autres Algues,,
909,Sea urchins,Oursin,Strongylocentrotus sp,
910,Bait worms,Vers,Polychaeta,
911,Cod livers,Foies de morue,,
912,Halibut livers,Foies de flétan,,
913,Swordfish livers,Foies d'espadon,,
914,Tuna livers,Foies de thon,,
915,Preserved cod livers,Foies de morue préservés,,
916,Shark livers,Foies de requins,,
919,Unspecified livers,Foies non spécifiés,,
920,"Tongues, sounds, cheeks","Langues, noues, flancs",,
921,Herring scales,Écailles de hareng,,
922,roes,oeufs,,
923,Fish fins,Nageoires de poisson,,
924,Liver oil,Huile de foies,,
925,Shark fins,Nageoires de requins,,
926,Shark liver oil,Huile de foies de requins,,
927,Caviar,Caviar,,
928,Lumpfish roe,Caviar de lompe,,
929,Gonad (scallops),Gonade de pétoncle,,
930,"Harp seal, whitecoat","Phoque du Groenland, blanchon",,
931,"Harp seal, ragged jacket","Phoque du Groenland, guenilloux",,
932,"Harp seal, beater","Phoque du Groenland, brasseur",,
933,"Harp seal, bedlamer","Phoque du Groenland, bête de mer",,
934,"Harp seal, old","Phoque du Groenland, vieux coeur",,
935,"Hood seal, young","Phoque capuchon, jeune",,
936,"Hood seal, old","Phoque capuchon, vieux",,
937,"Hood seal, unspecified","Phoque capuchon, non spécifié",,
938,"Seal, unspecified skin","Phoque, peau non spécifiée",,
939,Seal oil,Huile de phoque,,
940,"Whale, fin",Rorqual commun,Balaenoptera physalus,
941,"Whale, sei",Rorqual boréal,Balaenoptera borealis,
942,"Whale, sperm",Cachalot,Physeter macrocephalus,
943,Unspecified whales,Baleines non spécifiées,Mysticeti,
944,"Whale, minke",Petit rorqual,Balaenoptera acutorostrata,
945,"Whale, pothead",Globicéphale noir,Globicephala melaena,
950,Exploratory herring (fishing licence),Hareng exploratoire (permis seulement),,
951,Exploratory mackerel (fishing licence),Maquereau exploratoire (permis seulement),,
952,Exploratory scallop (fishing licence),Pétoncle exploratoire (permis seulement),,
953,Exploratory lobster (fishing licence),Homard exploratoire (permis seulement),,
954,Exploratory capelin (fishing licence),Capelan exploratoire (permis seulement),,
955,Exploratory quahaug (fishing licence),Palourde exploratoire (permis seulement),,
956,Commun crab (fishing licence),Crabe commun (permis seulement),,
957,Exploratory winkles (fishing licence),Buccin exploratoire (permis seulement),,
958,Northern shrimp (fishing licence),Crevette du nord (permis seulement),,
959,Exploratory shrimp (fishing licence),Crevette exploratoire (permis seulement),,
960,Mackerel head,Tête de maquereau,,
961,"Stimpson's surf clam, expl. (licence)",Mactre de Stimpson exploratoire (permis),,
962,Exploratory soft clam (fishing licence),Mye exploratoire (permis seulement),,
963,Exploratory crab (fishing licence),Crabe exploratoire (permis seulement),,
964,Exploratory sea urchin (fishing licence),Oursin exploratoire (permis seulement),,
965,Seal penis,Pénis de phoque,,
966,Seal meat,Chair de phoque,,
967,Exploratory shark (fishing licence),Requin exploratoire (permis seulement),,
968,Allocation crab,"Crabe, allocation",,
969,Shrimp allocation,"Crevette, allocation",,
970,Leatherback turtle,Tortue luth,Dermochelys coriacea,
971,"Heads, Groundfish","Têtes, Poisson de fond",,
997,No fee for this species (license only),Espece non tarifiable (permis seulement),,
998,For transporting fish (fishing licence),Permis de transport (permis seulement),,
999,Unspecified items,Items non spécifiés,,
